default;;0.1;240.8;240.7;RP;GILC.eaf
Maman;;0.896;1.8;0.904;non mamanais;GILC.eaf
Maman;;2.441;2.724;0.283;non mamanais;GILC.eaf
Maman;;5.193;6.462;1.269;non mamanais;GILC.eaf
Maman;;12.164;12.806;0.642;non mamanais;GILC.eaf
Maman;;14.695;16.909;2.214;non mamanais;GILC.eaf
Maman;;18.612;20.143;1.531;non mamanais;GILC.eaf
Maman;;22.105;22.843;0.738;non mamanais;GILC.eaf
Maman;;26.36;27.112;0.752;non mamanais;GILC.eaf
Maman;;27.744;32.206;4.462;non mamanais;GILC.eaf
Maman;;34.523;35.275;0.752;non mamanais;GILC.eaf
Maman;;37.323;38.641;1.318;mamanais;GILC.eaf
Maman;;40.372;41.799;1.427;non mamanais;GILC.eaf
Maman;;42.633;44.096;1.463;non mamanais;GILC.eaf
Maman;;45.427;45.889;0.462;non mamanais;GILC.eaf
Maman;;48.71;49.324;0.614;non mamanais;GILC.eaf
Maman;;50.428;51.131;0.703;non mamanais;GILC.eaf
Maman;;52.914;53.934;1.02;mamanais;GILC.eaf
Maman;;60.744;61.427;0.683;non mamanais;GILC.eaf
Maman;;62.537;63.233;0.696;non mamanais;GILC.eaf
Maman;;65.013;67.482;2.469;non mamanais;GILC.eaf
Maman;;68.492;70.099;1.607;non mamanais;GILC.eaf
Maman;;71.188;72.002;0.814;non mamanais;GILC.eaf
Maman;;72.716;74.702;1.986;mamanais;GILC.eaf
Maman;;76.161;77.154;0.993;non mamanais;GILC.eaf
Maman;;81.744;82.468;0.724;non mamanais;GILC.eaf
Maman;;87.616;88.913;1.297;non mamanais;GILC.eaf
Maman;;89.254;90.688;1.434;mamanais;GILC.eaf
Maman;;92.698;93.664;0.966;non mamanais;GILC.eaf
Maman;;96.117;98.779;2.662;non mamanais;GILC.eaf
Maman;;99.376;99.776;0.4;non mamanais;GILC.eaf
Maman;;100.559;102.587;2.028;non mamanais;GILC.eaf
Maman;;103.702;105.054;1.352;non mamanais;GILC.eaf
Maman;;105.802;108.968;3.166;non mamanais;GILC.eaf
Maman;;110.465;112.782;2.317;mamanais;GILC.eaf
Maman;;113.44;114.185;0.745;non mamanais;GILC.eaf
Maman;;119.882;120.53;0.648;non mamanais;GILC.eaf
Maman;;122.479;123.692;1.213;non mamanais;GILC.eaf
Maman;;128.364;129.502;1.138;non mamanais;GILC.eaf
Maman;;130.633;131.288;0.655;non mamanais;GILC.eaf
Maman;;131.971;132.729;0.758;mamanais;GILC.eaf
Maman;;140.713;140.954;0.241;non mamanais;GILC.eaf
Maman;;144.23;144.381;0.151;non mamanais;GILC.eaf
Maman;;145.743;146.15;0.407;non mamanais;GILC.eaf
Maman;;150.571;151.537;0.966;non mamanais;GILC.eaf
Maman;;152.668;152.958;0.29;non mamanais;GILC.eaf
Maman;;153.637;154.527;0.89;non mamanais;GILC.eaf
Maman;;160.243;161.209;0.966;non mamanais;GILC.eaf
Maman;;163.992;164.668;0.676;non mamanais;GILC.eaf
Maman;;168.058;168.623;0.565;non mamanais;GILC.eaf
Maman;;169.357;170.757;1.4;non mamanais;GILC.eaf
Maman;;171.757;172.061;0.304;non mamanais;GILC.eaf
Maman;;175.23;177.561;2.331;non mamanais;GILC.eaf
Maman;;178.916;180.219;1.303;non mamanais;GILC.eaf
Maman;;181.474;182.226;0.752;non mamanais;GILC.eaf
Maman;;182.647;183.895;1.248;non mamanais;GILC.eaf
Maman;;185.309;186.095;0.786;non mamanais;GILC.eaf
Maman;;187.678;189.83;2.152;non mamanais;GILC.eaf
Maman;;195.006;195.578;0.572;non mamanais;GILC.eaf
Maman;;200.047;202.089;2.042;non mamanais;GILC.eaf
Maman;;202.496;203.365;0.869;non mamanais;GILC.eaf
Maman;;207.327;208.299;0.972;non mamanais;GILC.eaf
Maman;;209.203;211.382;2.179;non mamanais;GILC.eaf
Maman;;212.992;216.31;3.318;mamanais;GILC.eaf
Maman;;220.792;221.696;0.904;non mamanais;GILC.eaf
Maman;;223.22;224.089;0.869;non mamanais;GILC.eaf
Maman;;226.226;227.585;1.359;non mamanais;GILC.eaf
Maman;;229.653;229.833;0.18;vocalisation;GILC.eaf
Maman;;230.905;231.823;0.918;non mamanais;GILC.eaf
Maman;;233.706;234.423;0.717;non mamanais;GILC.eaf
Maman;;235.44;236.668;1.228;non mamanais;GILC.eaf
Maman;;238.878;239.327;0.449;non mamanais;GILC.eaf
Bebe;;5.648;5.972;0.324;vocalisation;GILC.eaf
Bebe;;10.24;12.027;1.787;vocalisation;GILC.eaf
Bebe;;59.986;60.655;0.669;vocalisation;GILC.eaf
Bebe;;86.73;89.089;2.359;vocalisation;GILC.eaf
Bebe;;91.837;92.464;0.627;vocalisation;GILC.eaf
Bebe;;136.381;136.823;0.442;vocalisation;GILC.eaf
Bebe;;139.944;140.399;0.455;vocalisation;GILC.eaf
Bebe;;145.04;145.557;0.517;vocalisation;GILC.eaf
Bebe;;152.127;152.458;0.331;vocalisation;GILC.eaf
Bebe;;157.454;158.861;1.407;vocalisation;GILC.eaf
Bebe;;167.623;167.989;0.366;vocalisation;GILC.eaf
Bebe;;191.102;192.771;1.669;vocalisation;GILC.eaf
Bebe;;201.968;202.41;0.442;vocalisation;GILC.eaf
Bebe;;205.168;205.423;0.255;vocalisation;GILC.eaf
Bebe;;206.734;207.913;1.179;vocalisation;GILC.eaf
Bebe;;220.275;220.537;0.262;vocalisation;GILC.eaf
